sid,schid,distid,al_grp_avg,al_sr_grp_avg,al_is_grp_avg,e_ma_grp_avg,e_lit_ln_grp_avg,e_lit_ls_grp_avg,gender,ethnic_cd,al_admn_cd,al_atmpt_cd,al_s_ravg,al_i_savg,al_to_tavg,e_ma_admn_cd,e_ma_atmpt_cd,e_ma_to_tscore,e_lit_ln_atmpt_cd,e_lit_ln_admn_cd,e_lit_l_ncorr,e_lit_ls_atmpt_cd,e_lit_ls_admn_cd,e_lit_l_scorr
10402,428,151,Y,Y,Y,Y,Y,Y,F,A,0,Y,4.4,4,4.2667,0,Y,7,Y,0,56,Y,0,26
10403,280,124,Y,Y,Y,Y,Y,Y,F,M,0,Y,2,2.6,2.2,0,Y,10,Y,0,39,Y,0,0
10404,438,156,Y,Y,Y,Y,Y,Y,M,B,0,Y,2.3,2,2.2,0,Y,3,Y,0,0,Y,0,0
10405,113,57,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.3,3.8,3.4667,0,Y,9,Y,0,25,Y,0,16
10406,184,83,Y,Y,Y,Y,Y,Y,M,W,0,Y,4.9,5,4.9333,0,Y,9,Y,0,16,Y,0,0
10407,518,182,Y,Y,Y,Y,Y,Y,F,W,0,Y,4.8,5,4.8667,0,Y,9,Y,0,21,Y,0,0
10408,704,130,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.7,4,3.8,0,Y,8,Y,0,28,Y,0,12
10409,716,172,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.9,3.8,3.8667,0,Y,4,Y,0,18,Y,0,5
10410,351,130,Y,Y,Y,Y,Y,Y,M,I,0,Y,3,3.8,3.2667,0,Y,11,Y,0,49,Y,0,25
10411,90,41,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.4,4,3.6,0,Y,4,Y,0,0,Y,0,0
10412,598,168,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.9,3.8,3.8667,0,Y,12,Y,0,27,Y,0,23
10413,404,136,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.8,4,3.8667,0,Y,10,Y,0,0,Y,0,7
10414,220,94,Y,Y,Y,Y,Y,Y,F,B,0,Y,2.6,2.8,2.6667,0,Y,7,Y,0,1,Y,0,0
10415,716,172,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.7,3.4,3.6,0,Y,9,Y,0,26,Y,0,1
10416,399,134,Y,Y,Y,Y,Y,Y,M,M,0,Y,2.9,3,2.9333,0,Y,6,Y,0,42,Y,0,13
10417,661,130,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.6,3.6,3.6,0,Y,9,Y,0,21,Y,0,11
10418,51,15,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.6,3.8,3.6667,0,Y,8,Y,0,5,Y,0,0
10419,478,168,Y,Y,Y,Y,Y,Y,M,W,0,Y,4,4,4,0,Y,4,Y,0,40,Y,0,20
10420,503,172,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.9,2.6,3.4667,0,Y,7,Y,0,40,Y,0,10
10421,503,172,Y,Y,Y,Y,Y,Y,M,W,0,Y,2.3,2,2.2,0,Y,10,Y,0,55,Y,0,14
10422,503,172,Y,Y,Y,N,N,N,M,H,0,Y,1.1,2,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
10423,503,172,Y,Y,Y,Y,Y,Y,F,W,0,Y,3,3.2,3.0667,0,Y,7,Y,0,27,Y,0,3
10424,503,172,Y,Y,Y,Y,Y,Y,F,W,0,Y,4.4,5,4.6,0,Y,6,Y,0,33,Y,0,8
10425,503,172,Y,Y,Y,Y,Y,Y,M,H,0,Y,4.9,5,4.9333,0,Y,11,Y,0,7,Y,0,7
10426,503,172,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.5,3.6,3.5333,0,Y,10,Y,0,28,Y,0,29
10427,22,11,Y,Y,Y,Y,Y,Y,F,P,0,Y,2.8,4.8,3.4667,0,Y,6,Y,0,1,Y,0,0
10428,263,112,Y,Y,Y,Y,Y,Y,M,H,0,Y,3.9,4,3.9333,0,Y,8,Y,0,0,Y,0,0
10429,264,112,Y,Y,Y,Y,Y,Y,F,W,0,Y,4,4,4,0,Y,9,Y,0,25,Y,0,14
10430,264,112,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.2,5,3.8,0,Y,15,Y,0,26,Y,0,19
10431,1,1,Y,Y,Y,Y,Y,Y,M,W,0,Y,2.7,3.8,3.0667,0,Y,9,Y,0,1,Y,0,1
10432,550,5,Y,Y,Y,Y,Y,Y,M,W,0,Y,2.4,1.8,2.1333,0,Y,8,Y,0,38,Y,0,10
10433,659,136,Y,Y,Y,Y,Y,Y,F,W,0,Y,4,4,4,0,Y,6,Y,0,10,Y,0,1
10434,539,10,Y,Y,Y,Y,N,N,F,W,0,Y,3.7,3.8,3.7333,0,Y,9,N,1,NA,N,1,NA
10435,205,89,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.5,5,4,0,Y,6,Y,0,1,Y,0,0
10436,536,130,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.4,3.8,3.5333,0,Y,3,Y,0,10,Y,0,0
10437,562,130,Y,Y,Y,Y,Y,Y,M,H,0,Y,3.5,4.4,3.8,0,Y,6,Y,0,0,Y,0,0
10438,506,168,Y,Y,Y,Y,Y,Y,M,H,0,Y,1.3,2.6,1.7333,0,Y,0,Y,0,2,Y,0,1
10439,690,11,Y,Y,Y,Y,N,N,F,W,0,Y,3.1,4.6,3.6,0,Y,5,NA,NA,NA,NA,NA,NA
10440,306,124,Y,Y,Y,Y,N,N,F,W,0,Y,4,4,4,0,Y,5,NA,NA,NA,NA,NA,NA
10441,288,124,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.8,5,4.2,0,Y,5,Y,0,30,Y,0,7
10442,508,173,Y,Y,Y,Y,Y,Y,M,W,0,Y,4,4,4,0,Y,6,Y,0,1,Y,0,0
10443,287,124,Y,Y,Y,Y,Y,Y,F,H,0,Y,3.8,3.8,3.8,0,Y,4,Y,0,2,Y,0,0
10444,643,9,Y,Y,Y,Y,Y,Y,F,H,0,Y,3.7,4.8,4.0667,0,Y,5,Y,0,15,Y,0,5
10445,643,9,Y,Y,Y,Y,Y,Y,F,W,0,Y,4.1,4.4,4.2,0,Y,3,Y,0,8,Y,0,0
10446,5,6,Y,Y,Y,Y,Y,Y,M,W,0,Y,2.6,2.2,2.4667,0,Y,5,Y,0,35,Y,0,4
10447,408,136,Y,Y,Y,Y,Y,Y,F,H,0,Y,4.1,5,4.4,0,Y,6,Y,0,26,Y,0,19
10448,411,136,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.5,4.8,3.9333,0,Y,9,Y,0,40,Y,0,19
10449,659,136,Y,Y,Y,Y,Y,Y,F,B,0,Y,4.5,4,4.3333,0,Y,8,Y,0,1,Y,0,0
10450,411,136,Y,Y,Y,Y,Y,Y,M,H,0,Y,4.2,4.6,4.3333,0,Y,8,Y,0,20,Y,0,18
10451,400,134,Y,Y,Y,Y,Y,Y,M,W,0,Y,4.2,4,4.1333,0,Y,15,Y,0,45,Y,0,28
10452,245,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,2.6,2.8,2.6667,0,Y,7,Y,0,0,Y,0,0
10453,469,171,Y,Y,Y,Y,Y,Y,F,H,0,Y,3.8,4,3.8667,0,Y,5,Y,0,4,Y,0,2
10454,244,105,Y,Y,Y,Y,Y,Y,F,M,0,Y,4,4,4,0,Y,7,Y,0,18,Y,0,6
10455,547,110,Y,Y,Y,Y,Y,Y,M,W,0,Y,2.2,3,2.4667,0,Y,6,Y,0,0,Y,0,0
10456,244,105,Y,Y,Y,Y,Y,Y,F,W,0,Y,4,4,4,0,Y,14,Y,0,41,Y,0,16
10457,277,122,Y,Y,Y,Y,Y,Y,M,W,0,Y,2.9,2.6,2.8,0,Y,4,Y,0,26,Y,0,2
10458,649,106,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.8,3.4,3.6667,0,Y,12,Y,0,40,Y,0,7
10459,238,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,3,3,3,0,Y,11,Y,0,0,Y,0,0
10460,245,105,Y,Y,Y,Y,Y,Y,M,M,0,Y,3.5,4.8,3.9333,0,Y,7,Y,0,14,Y,0,0
10461,547,110,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.2,3.4,3.2667,0,Y,7,Y,0,11,Y,0,1
10462,277,122,Y,Y,Y,Y,Y,Y,F,W,0,Y,4,4,4,0,Y,6,Y,0,2,Y,0,1
10463,245,105,Y,Y,Y,Y,Y,Y,F,W,0,Y,5,5,5,0,Y,5,Y,0,2,Y,0,1
10464,249,106,Y,Y,Y,Y,Y,Y,F,W,0,Y,5,4.6,4.8667,0,Y,10,Y,0,12,Y,0,5
10465,244,105,Y,Y,Y,Y,Y,Y,F,H,0,Y,4,4,4,0,Y,3,Y,0,1,Y,0,0
10466,252,106,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.7,4,3.8,0,Y,13,Y,0,35,Y,0,20
10467,237,105,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.6,4.8,4,0,Y,8,Y,0,1,Y,0,0
10468,257,107,Y,Y,Y,Y,Y,Y,M,W,0,Y,4,4.4,4.1333,0,Y,8,Y,0,11,Y,0,0
10469,255,107,Y,Y,Y,Y,Y,Y,M,A,0,Y,4,3.8,3.9333,0,Y,12,Y,0,46,Y,0,16
10470,241,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,4,4.2,4.0667,0,Y,6,Y,0,7,Y,0,0
10471,254,107,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.8,5,4.2,0,Y,10,Y,0,7,Y,0,0
10472,257,107,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.2,2.6,3,0,Y,9,Y,0,40,Y,0,22
10473,277,122,Y,Y,Y,Y,Y,Y,F,W,0,Y,5,5,5,0,Y,5,Y,0,24,Y,0,2
10474,257,107,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.9,4,3.9333,0,Y,7,Y,0,28,Y,0,2
10475,238,105,Y,Y,Y,Y,Y,Y,M,I,0,Y,3.5,3.4,3.4667,0,Y,8,Y,0,12,Y,0,0
10476,256,107,Y,Y,Y,Y,Y,Y,F,W,0,Y,4.7,4.4,4.6,0,Y,5,Y,0,2,Y,0,0
10477,244,105,Y,Y,Y,N,N,N,M,W,0,Y,1.4,1.2,1.3333,5,N,NA,N,5,NA,N,5,NA
10478,245,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.2,4,3.4667,0,Y,6,Y,0,26,Y,0,4
10479,245,105,Y,Y,Y,Y,Y,Y,M,I,0,Y,3.7,4,3.8,0,Y,4,Y,0,0,Y,0,0
10480,241,105,Y,Y,Y,Y,Y,Y,M,A,0,Y,2.6,1.8,2.2857,0,Y,8,Y,0,55,Y,0,32
10481,547,110,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.1,2.6,2.9333,0,Y,5,Y,0,15,Y,0,3
10482,277,122,Y,Y,Y,Y,Y,Y,M,H,0,Y,3.1,3,3.0667,0,Y,9,Y,0,1,Y,0,1
10483,250,106,N,N,N,Y,Y,Y,M,W,NA,NA,NA,NA,NA,0,Y,7,Y,0,3,Y,0,2
10484,649,106,Y,Y,Y,N,N,N,F,W,0,Y,2.6,3.2,2.8,1,N,NA,N,1,NA,N,1,NA
10485,693,107,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.8,4.4,4,0,Y,5,Y,0,12,Y,0,2
10486,255,107,Y,Y,Y,Y,Y,Y,M,W,0,Y,4.2,4.8,4.4,0,Y,15,Y,0,19,Y,0,7
10487,547,110,Y,Y,Y,Y,Y,Y,F,H,0,Y,2.6,4.4,3.2,0,Y,11,Y,0,18,Y,0,4
10488,254,107,Y,Y,Y,Y,Y,Y,F,W,0,Y,4.9,4.8,4.8667,0,Y,14,Y,0,32,Y,0,23
10489,248,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,4.9,4.8,4.8667,0,Y,12,Y,0,40,Y,0,23
10490,238,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,4.1,5,4.4,0,Y,8,Y,0,37,Y,0,9
10491,248,105,N,N,N,Y,Y,Y,F,H,NA,NA,NA,NA,NA,0,Y,6,Y,0,1,Y,0,0
10492,254,107,Y,Y,Y,Y,Y,Y,F,A,0,Y,4,4,4,0,Y,13,Y,0,4,Y,0,0
10493,686,108,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.5,3.4,3.4667,0,Y,5,Y,0,60,Y,0,30
10494,277,122,Y,Y,Y,Y,Y,Y,F,A,0,Y,2,2.2,2.0667,0,Y,3,Y,0,0,Y,0,0
10495,245,105,N,N,N,Y,Y,Y,F,W,NA,NA,NA,NA,NA,0,Y,9,Y,0,31,Y,0,10
10496,242,105,Y,Y,Y,Y,Y,Y,F,H,0,Y,4.5,5,4.6667,0,Y,4,Y,0,1,Y,0,0
10497,237,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,2.1,2.2,2.1333,0,Y,5,Y,0,7,Y,0,1
10498,238,105,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.9,4.4,4.0667,0,Y,12,Y,0,1,Y,0,0
10499,243,105,Y,Y,Y,Y,Y,Y,M,B,0,Y,3.2,3.4,3.2667,0,Y,6,Y,0,41,Y,0,7
10500,237,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,4,4,4,0,Y,9,Y,0,12,Y,0,12
10501,255,107,Y,Y,Y,Y,Y,Y,F,M,0,Y,3,3,3,0,Y,9,Y,0,4,Y,0,0
10502,239,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.8,4,3.8667,0,Y,11,Y,0,18,Y,0,7
10503,238,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.4,4,3.6,0,Y,7,Y,0,20,Y,0,4
10504,245,105,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.7,4,3.8,0,Y,11,Y,0,19,Y,0,5
10505,245,105,Y,Y,Y,N,N,N,M,H,0,Y,3.3,4.4,3.6667,NA,NA,NA,NA,NA,NA,NA,NA,NA
10506,238,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.5,4,3.6667,0,Y,3,Y,0,17,Y,0,0
10507,277,122,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.4,2,2.9333,0,Y,11,Y,0,15,Y,0,0
10508,277,122,Y,Y,Y,N,N,N,F,M,0,Y,2.9,3.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
10509,243,105,Y,Y,Y,Y,Y,Y,F,W,0,Y,2.1,2.6,2.2667,0,Y,1,Y,0,8,Y,0,1
10510,8,8,Y,Y,Y,Y,Y,Y,M,H,0,Y,3.9,4,3.9333,0,Y,8,Y,0,17,Y,0,0
10511,244,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,4.6,4.4,4.5333,0,Y,4,Y,0,36,Y,0,3
10512,249,106,Y,Y,Y,Y,Y,Y,M,W,0,Y,4,4.8,4.2667,0,Y,11,Y,0,34,Y,0,9
10513,243,105,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.5,4.4,3.8,0,Y,4,Y,0,20,Y,0,12
10514,246,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.7,4,3.8,0,Y,5,Y,0,7,Y,0,3
10515,277,122,Y,Y,Y,Y,Y,Y,F,W,0,Y,4,4,4,0,Y,8,Y,0,1,Y,0,1
10516,648,106,Y,Y,Y,Y,Y,Y,M,M,0,Y,3.1,2.8,3,0,Y,4,Y,0,0,Y,0,0
10517,248,105,Y,Y,Y,Y,Y,Y,M,A,0,Y,3.6,4,3.7333,0,Y,8,Y,0,39,Y,0,14
10518,693,107,Y,Y,Y,Y,Y,Y,F,W,0,Y,4.1,4,4.0667,0,Y,7,Y,0,32,Y,0,18
10519,250,106,Y,Y,Y,Y,Y,Y,M,H,0,Y,2.8,3.6,3.0667,0,Y,8,Y,0,1,Y,0,2
10520,241,105,Y,Y,Y,Y,Y,Y,F,H,0,Y,5,5,5,0,Y,9,Y,0,12,Y,0,0
10521,243,105,Y,Y,Y,Y,Y,Y,M,B,0,Y,2.2,2.8,2.4,0,Y,14,Y,0,46,Y,0,30
10522,255,107,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.5,4,3.6667,0,Y,15,Y,0,15,Y,0,11
10523,255,107,Y,Y,Y,Y,Y,Y,F,H,0,Y,2.3,3.8,2.8,0,Y,6,Y,0,6,Y,0,6
10524,277,122,Y,Y,Y,Y,Y,Y,M,W,0,Y,1.1,1,1.0667,0,Y,8,Y,0,21,Y,0,8
10525,254,107,Y,Y,Y,N,N,N,M,H,0,Y,3.1,1.6,2.6,1,N,NA,N,5,NA,N,5,NA
10526,240,105,Y,Y,Y,Y,Y,Y,F,M,0,Y,2.1,2.6,2.2667,0,Y,1,Y,0,23,Y,0,11
10527,649,106,Y,Y,Y,N,Y,Y,M,H,0,Y,3.4,4.2,3.6667,5,N,NA,Y,0,1,Y,0,0
10528,244,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,2.1,4.2,2.8,0,Y,12,Y,0,27,Y,0,10
10529,244,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.6,3.6,3.6,0,Y,4,Y,0,46,Y,0,30
10530,12,8,Y,Y,Y,N,N,N,F,W,0,Y,4.8,4.8,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
10531,257,107,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.9,4,3.9333,0,Y,7,Y,0,29,Y,0,28
10532,238,105,Y,Y,Y,Y,Y,Y,F,W,0,Y,4.6,5,4.7333,0,Y,4,Y,0,33,Y,0,6
10533,693,107,Y,Y,Y,Y,Y,Y,M,W,0,Y,4,5,4.3333,0,Y,4,Y,0,3,Y,0,1
10534,277,122,Y,Y,Y,Y,Y,Y,M,W,0,Y,4,4,4,0,Y,6,Y,0,23,Y,0,0
10535,560,89,Y,Y,Y,Y,Y,Y,M,H,0,Y,4.1,4,4.0714,0,Y,7,Y,0,0,Y,0,0
10536,392,132,Y,Y,Y,Y,Y,Y,F,H,0,Y,4.8,4.8,4.8,0,Y,9,Y,0,14,Y,0,0
10537,246,105,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.9,4,3.9333,0,Y,5,Y,0,17,Y,0,5
10538,248,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.4,3.6,3.4667,0,Y,13,Y,0,8,Y,0,2
10539,255,107,Y,Y,Y,Y,Y,Y,M,W,0,Y,4.6,4.8,4.6667,0,Y,10,Y,0,17,Y,0,2
10540,550,5,Y,Y,Y,Y,Y,Y,M,M,0,Y,4.6,4.4,4.5333,0,Y,8,Y,0,32,Y,0,27
10541,290,124,Y,Y,Y,Y,Y,Y,M,H,0,Y,2.1,1.8,2,0,Y,5,Y,0,0,Y,0,0
10542,255,107,Y,Y,Y,Y,Y,Y,F,P,0,Y,3.2,4,3.4667,0,Y,7,Y,0,3,Y,0,0
10543,693,107,N,N,N,Y,Y,Y,M,W,5,N,NA,NA,NA,0,Y,12,Y,0,12,Y,0,3
10544,255,107,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.8,4,3.8667,0,Y,13,Y,0,0,Y,0,0
10545,246,105,Y,Y,Y,Y,N,N,M,I,0,Y,3.3,3.4,3.3333,0,Y,5,NA,NA,NA,NA,NA,NA
10546,241,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.8,4,3.8667,0,Y,15,Y,0,6,Y,0,0
10547,277,122,Y,Y,Y,Y,Y,Y,M,H,0,Y,2.8,2.8,2.8,0,Y,13,Y,0,1,Y,0,3
10548,243,105,Y,Y,Y,Y,Y,Y,F,W,0,Y,4,4,4,0,Y,12,Y,0,39,Y,0,20
10549,244,105,N,N,N,Y,Y,Y,F,W,5,N,NA,NA,NA,0,Y,8,Y,0,41,Y,0,14
10550,237,105,Y,Y,Y,Y,N,N,F,W,0,Y,3.5,3.6,3.5333,0,Y,11,NA,NA,NA,NA,NA,NA
10551,244,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,1.9,2.2,2,0,Y,10,Y,0,85,Y,0,35
10552,244,105,Y,Y,Y,Y,Y,Y,M,H,0,Y,2.1,3.4,2.5333,0,Y,6,Y,0,0,Y,0,0
10553,236,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,2.9,2.8,2.8667,0,Y,3,Y,0,17,Y,0,0
10554,238,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.8,4.2,3.9333,0,Y,8,Y,0,12,Y,0,5
10555,244,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,4.9,5,4.9333,0,Y,14,Y,0,4,Y,0,25
10556,241,105,Y,Y,Y,Y,Y,Y,F,W,0,Y,4.8,4.8,4.8,0,Y,8,Y,0,14,Y,0,5
10557,547,110,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.4,4,3.6,0,Y,5,Y,0,9,Y,0,1
10558,547,110,Y,Y,Y,Y,Y,Y,F,W,0,Y,5,5,5,0,Y,13,Y,0,25,Y,0,13
10559,277,122,Y,Y,Y,Y,Y,Y,F,H,0,Y,5,5,5,0,Y,8,Y,0,0,Y,0,0
10560,237,105,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.7,4,3.8,0,Y,10,Y,0,18,Y,0,6
10561,237,105,Y,Y,Y,Y,Y,Y,M,H,0,Y,3.1,4,3.4,0,Y,0,Y,0,0,Y,0,0
10562,260,109,Y,Y,Y,Y,Y,Y,F,M,0,Y,3.4,4,3.6,0,Y,6,Y,0,23,Y,0,0
10563,237,105,Y,Y,Y,Y,Y,Y,F,A,0,Y,3.6,4.4,3.8667,0,Y,12,Y,0,23,Y,0,7
10564,245,105,Y,Y,Y,Y,Y,Y,F,I,0,Y,2.2,3.6,2.6667,0,Y,10,Y,0,0,Y,0,0
10565,245,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,2.8,4,3.2,0,Y,6,Y,0,0,Y,0,0
10566,241,105,Y,Y,Y,Y,Y,Y,F,W,0,Y,4,4,4,0,Y,10,Y,0,15,Y,0,1
10567,248,105,Y,Y,Y,Y,Y,Y,F,W,0,Y,2.8,3.4,3,0,Y,3,Y,0,31,Y,0,0
10568,254,107,Y,Y,Y,Y,Y,Y,F,M,0,Y,4,4,4,0,Y,13,Y,0,39,Y,0,27
10569,245,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,2,2,2,0,Y,13,Y,0,38,Y,0,22
10570,259,108,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.7,4,3.8,0,Y,2,Y,0,20,Y,0,9
10571,649,106,Y,Y,Y,Y,Y,Y,F,W,0,Y,5,5,5,0,Y,7,Y,0,50,Y,0,18
10572,649,106,Y,Y,Y,Y,Y,Y,M,H,0,Y,3.2,4,3.4667,0,Y,9,Y,0,7,Y,0,2
10573,237,105,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.3,3.2,3.2667,0,Y,9,Y,0,56,Y,0,30
10574,249,106,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.3,3.8,3.4667,0,Y,7,Y,0,5,Y,0,2
10575,238,105,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.5,3,3.3333,0,Y,8,Y,0,3,Y,0,1
10576,245,105,N,N,N,Y,Y,Y,F,W,NA,NA,NA,NA,NA,0,Y,6,Y,0,27,Y,0,19
10577,319,121,Y,Y,Y,Y,Y,Y,M,W,0,Y,4.1,4.8,4.3333,0,Y,7,Y,0,16,Y,0,0
10578,244,105,Y,Y,Y,Y,Y,Y,F,W,0,Y,4,4,4,0,Y,8,Y,0,9,Y,0,3
10579,248,105,Y,Y,Y,N,N,N,F,W,0,Y,4.1,5,4.4,5,N,NA,N,5,NA,N,5,NA
10580,248,105,Y,Y,Y,Y,Y,Y,F,W,0,Y,3,3,3,0,Y,5,Y,0,0,Y,0,0
10581,241,105,Y,Y,Y,Y,Y,Y,F,W,0,Y,2.6,2.6,2.6,0,Y,12,Y,0,16,Y,0,0
10582,243,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,5,5,5,0,Y,12,Y,0,85,Y,0,58
10583,249,106,Y,Y,Y,Y,Y,Y,F,H,0,Y,4.8,5,4.8667,0,Y,9,Y,0,1,Y,0,2
10584,277,122,Y,Y,Y,Y,Y,Y,M,W,0,Y,2.6,3,2.7333,0,Y,8,Y,0,20,Y,0,4
10585,241,105,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.8,3.6,3.7333,0,Y,8,Y,0,20,Y,0,5
10586,248,105,Y,Y,Y,Y,Y,Y,F,W,0,Y,2.8,4,3.2,0,Y,6,Y,0,0,Y,0,0
10587,243,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.5,4.4,3.8,0,Y,7,Y,0,9,Y,0,4
10588,244,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,4.7,5,4.8,0,Y,7,Y,0,9,Y,0,2
10589,245,105,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.7,3.4,3.6,0,Y,8,Y,0,37,Y,0,23
10590,286,124,Y,Y,Y,Y,Y,Y,F,W,0,Y,4.4,5,4.6,0,Y,9,Y,0,1,Y,0,0
10591,241,105,Y,Y,Y,Y,Y,Y,F,W,0,Y,4,5,4.3333,0,Y,9,Y,0,11,Y,0,0
10592,241,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.7,4.8,4.0667,0,Y,8,Y,0,10,Y,0,1
10593,237,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.8,3,3.5333,0,Y,9,Y,0,7,Y,0,5
10594,245,105,Y,Y,Y,Y,Y,Y,M,H,0,Y,2.8,4.4,3.3333,0,Y,4,Y,0,0,Y,0,0
10595,237,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,2.9,3.6,3.1333,0,Y,7,Y,0,0,Y,0,0
10596,257,107,Y,Y,Y,Y,Y,Y,F,W,0,Y,4,4,4,0,Y,9,Y,0,48,Y,0,32
10597,11,8,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.2,2.2,2.8667,0,Y,7,Y,0,39,Y,0,15
10598,246,105,Y,Y,Y,Y,Y,Y,M,H,0,Y,2.4,3,2.6,0,Y,5,Y,0,0,Y,0,0
10599,241,105,Y,Y,Y,Y,Y,Y,M,H,0,Y,1.8,3.2,2.2667,0,Y,5,Y,0,2,Y,0,0
10600,253,104,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.7,4,3.8,0,Y,6,Y,0,23,Y,0,13
10601,245,105,Y,Y,Y,Y,Y,Y,F,H,0,Y,2.4,4.4,3.0667,0,Y,4,Y,0,0,Y,0,0
10602,648,106,Y,Y,Y,Y,Y,Y,M,W,0,Y,2,2.2,2.0667,0,Y,10,Y,0,3,Y,0,3
10603,238,105,Y,Y,Y,Y,Y,Y,F,H,0,Y,3.4,3,3.2667,0,Y,10,Y,0,47,Y,0,18
10604,249,106,Y,Y,Y,Y,Y,Y,F,W,0,Y,4,4.4,4.1333,0,Y,10,Y,0,16,Y,0,0
10605,238,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,2.5,3,2.6667,0,Y,4,Y,0,40,Y,0,28
10606,250,106,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.3,4,3.5333,0,Y,5,Y,0,1,Y,0,0
10607,277,122,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.4,4.6,3.8,0,Y,5,Y,0,19,Y,0,1
10608,648,106,Y,Y,Y,Y,Y,Y,F,H,0,Y,4.3,4.8,4.4667,0,Y,8,Y,0,0,Y,0,0
10609,648,106,Y,Y,Y,Y,Y,Y,F,H,0,Y,2.5,2.4,2.4667,0,Y,7,Y,0,2,Y,0,0
10610,248,105,Y,Y,Y,Y,Y,Y,M,B,0,Y,2.9,3.4,3.0667,0,Y,5,Y,0,42,Y,0,30
